protein_id,symbol,description,entrez_id,ensembl,subcell_loc,passed_filter,protein_cluster,median_npeptides_quantification,prop_samples_expr
Q8N5Z0,AADAT,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",51166,ENSG00000109576,Mitochondrion,FALSE,NA,1,0.031746031746031744
Q7RTV5,AAED1,RecName: Full=Thioredoxin-like protein AAED1; AltName: Full=AhpC/TSA antioxidant enzyme domain-containing protein 1,195827,ENSG00000158122,NA,FALSE,NA,1,0.1746031746031746
Q6PD74,AAGAB,Alpha- and gamma-adaptin-binding protein p34,79719,ENSG00000103591,"Cytoplasm, cytosol",TRUE,8,5,0.9365079365079365
Q2M2I8,AAK1,RecName: Full=AP2-associated protein kinase 1; EC=2.7.11.1; AltName: Full=Adaptor-associated kinase 1,22848,ENSG00000115977,Cell membrane,TRUE,6,14,1
Q9H7C9,AAMDC,RecName: Full=Mth938 domain-containing protein; AltName: Full=Adipogenesis associated Mth938 domain-containing protein,28971,ENSG00000087884,Cytoplasm,FALSE,NA,1,0.3492063492063492
Q13685,AAMP,RecName: Full=Angio-associated migratory cell protein,14,ENSG00000127837,Cell membrane,TRUE,6,4,0.9682539682539683
Q16613,AANAT,Serotonin N-acetyltransferase,15,ENSG00000129673,Cytoplasm,FALSE,NA,1,0
Q9Y312,AAR2,Protein AAR2 homolog,25980,ENSG00000131043,NA,TRUE,3,4,0.8412698412698413
P49588,AARS,"Alanine--tRNA ligase, cytoplasmic",16,ENSG00000090861,Cytoplasm,TRUE,2,98,1
Q5JTZ9,AARS2,"RecName: Full=Alanine--tRNA ligase, mitochondrial; EC=6.1.1.7; AltName: Full=Alanyl-tRNA synthetase; Short=AlaRS; Flags: Precursor",57505,ENSG00000124608,Mitochondrion,TRUE,1,9,0.9841269841269841
Q9BTE6,AARSD1,RecName: Full=Alanyl-tRNA editing protein Aarsd1; AltName: Full=Alanyl-tRNA synthetase domain-containing protein 1,100885850,ENSG00000108825,Cytoplasm,TRUE,6,10,1
Q9NRN7,AASDHPPT,RecName: Full=L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase; EC=2.7.8.-; AltName: Full=4'-phosphopantetheinyl transferase; AltName: Full=Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase; Short=A,60496,ENSG00000149313,Cytoplasm,TRUE,8,9,1
Q9UDR5,AASS,"RecName: Full=Alpha-aminoadipic semialdehyde synthase, mitochondrial; AltName: Full=LKR/SDH; Includes: RecName: Full=Lysine ketoglutarate reductase; Short=LKR; Short=LOR; EC=1.5.1.8; Includes: RecName: Full=Saccharopine dehydrogenase; Short=SDH; EC=1",10157,ENSG00000008311,Mitochondrion,FALSE,NA,3,0.873015873015873
Q9NY61,AATF,RecName: Full=Protein AATF; AltName: Full=Apoptosis-antagonizing transcription factor; AltName: Full=Rb-binding protein Che-1,26574,ENSG00000275700,"Nucleus, nucleolus",TRUE,5,4,0.9523809523809523
Q6ZMQ8,AATK,Serine/threonine-protein kinase LMTK1,9625,ENSG00000181409,Membrane,FALSE,NA,1,0.015873015873015872
P80404,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",18,ENSG00000183044,Mitochondrion matrix,FALSE,NA,5,0.3492063492063492
O95477,ABCA1,RecName: Full=ATP-binding cassette sub-family A member 1; AltName: Full=ATP-binding cassette transporter 1; Short=ABC-1; Short=ATP-binding cassette 1; AltName: Full=Cholesterol efflux regulatory protein,19,ENSG00000165029,Membrane,FALSE,NA,1,0.30158730158730157
Q8WWZ4,ABCA10,ATP-binding cassette sub-family A member 10,10349,ENSG00000154263,Membrane,FALSE,NA,1,0.06349206349206349
Q86UK0,ABCA12,ATP-binding cassette sub-family A member 12,26154,ENSG00000144452,Membrane,FALSE,NA,1,0.06349206349206349
Q86UQ4,ABCA13,RecName: Full=ATP-binding cassette sub-family A member 13,154664,ENSG00000179869,Membrane,FALSE,NA,1,0.047619047619047616
Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2,20,ENSG00000107331,Endosome membrane,FALSE,NA,1,0.031746031746031744
Q99758,ABCA3,RecName: Full=ATP-binding cassette sub-family A member 3; AltName: Full=ABC-C transporter; AltName: Full=ATP-binding cassette transporter 3; Short=ATP-binding cassette 3,21,ENSG00000167972,Membrane,FALSE,NA,1,0.047619047619047616
P78363,ABCA4,Retinal-specific ATP-binding cassette transporter,24,ENSG00000198691,Membrane,FALSE,NA,1,0.031746031746031744
Q8WWZ7,ABCA5,RecName: Full=ATP-binding cassette sub-family A member 5,23461,ENSG00000154265,Lysosome membrane,FALSE,NA,1,0
Q8N139,ABCA6,ATP-binding cassette sub-family A member 6,23460,ENSG00000154262,Membrane,FALSE,NA,1,0.30158730158730157
Q8IZY2,ABCA7,RecName: Full=ATP-binding cassette sub-family A member 7; AltName: Full=ABCA-SSN; AltName: Full=Autoantigen SS-N; AltName: Full=Macrophage ABC transporter,10347,ENSG00000064687,Cell membrane,FALSE,NA,1,0
O94911,ABCA8,ATP-binding cassette sub-family A member 8,10351,ENSG00000141338,Cell membrane,FALSE,NA,2,0.031746031746031744
P08183,ABCB1,Multidrug resistance protein 1,5243,ENSG00000085563,Cell membrane,FALSE,NA,1,0.031746031746031744
Q9NRK6,ABCB10,"RecName: Full=ATP-binding cassette sub-family B member 10, mitochondrial; AltName: Full=ATP-binding cassette transporter 10; Short=ABC transporter 10 protein; AltName: Full=Mitochondrial ATP-binding cassette 2; Short=M-ABC2; Flags: Precursor",23456,ENSG00000135776,Mitochondrion inner membrane,FALSE,NA,2,0.7777777777777778
O95342,ABCB11,Bile salt export pump,8647,ENSG00000073734,Membrane,FALSE,NA,1,0.031746031746031744
P21439,ABCB4,Phosphatidylcholine translocator ABCB4,5244,ENSG00000005471,Cell membrane,FALSE,NA,1,0.047619047619047616
Q2M3G0,ABCB5,ATP-binding cassette sub-family B member 5,340273,ENSG00000004846,Cell membrane,FALSE,NA,1,0.015873015873015872
Q9NP58,ABCB6,"RecName: Full=ATP-binding cassette sub-family B member 6, mitochondrial; AltName: Full=Mitochondrial ABC transporter 3; Short=Mt-ABC transporter 3; AltName: Full=P-glycoprotein-related protein; AltName: Full=Ubiquitously-expressed mammalian ABC half",10058,ENSG00000115657,Cell membrane,TRUE,1,7,0.8412698412698413
O75027,ABCB7,"RecName: Full=ATP-binding cassette sub-family B member 7, mitochondrial; AltName: Full=ATP-binding cassette transporter 7; Short=ABC transporter 7 protein; Flags: Precursor",22,ENSG00000131269,Mitochondrion inner membrane,TRUE,4,4,0.9682539682539683
Q9NUT2,ABCB8,"RecName: Full=ATP-binding cassette sub-family B member 8, mitochondrial; AltName: Full=Mitochondrial ATP-binding cassette 1; Short=M-ABC1; Flags: Precursor",11194,ENSG00000197150,Mitochondrion inner membrane,FALSE,NA,2,0.8095238095238095
Q9NP78,ABCB9,RecName: Full=ATP-binding cassette sub-family B member 9; AltName: Full=ATP-binding cassette transporter 9; Short=ABC transporter 9 protein; Short=hABCB9; AltName: Full=TAP-like protein; Short=TAPL,23457,ENSG00000150967,Lysosome membrane,FALSE,NA,1,0
P33527,ABCC1,RecName: Full=Multidrug resistance-associated protein 1; AltName: Full=ATP-binding cassette sub-family C member 1; AltName: Full=Leukotriene C(4) transporter; Short=LTC4 transporter,4363,ENSG00000103222,Cell membrane,TRUE,1,13,1
Q5T3U5,ABCC10,Multidrug resistance-associated protein 7,89845,ENSG00000124574,Cell membrane,FALSE,NA,1,0.3968253968253968
Q96J66,ABCC11,ATP-binding cassette sub-family C member 11,85320,ENSG00000121270,Cell membrane,FALSE,NA,1,0
Q96J65,ABCC12,Multidrug resistance-associated protein 9,94160,ENSG00000140798,Membrane,FALSE,NA,1,0.015873015873015872
Q92887,ABCC2,Canalicular multispecific organic anion transporter 1,1244,ENSG00000023839,Apical cell membrane,FALSE,NA,1,0.015873015873015872
O15438,ABCC3,RecName: Full=Canalicular multispecific organic anion transporter 2; AltName: Full=ATP-binding cassette sub-family C member 3; AltName: Full=Multi-specific organic anion transporter D; Short=MOAT-D; AltName: Full=Multidrug resistance-associated prote,8714,ENSG00000108846,Membrane,FALSE,NA,8,0.6349206349206349
O15439,ABCC4,RecName: Full=Multidrug resistance-associated protein 4; AltName: Full=ATP-binding cassette sub-family C member 4; AltName: Full=MRP/cMOAT-related ABC transporter; AltName: Full=Multi-specific organic anion transporter B; Short=MOAT-B,10257,ENSG00000125257,Membrane,TRUE,1,5,0.873015873015873
O15440,ABCC5,RecName: Full=Multidrug resistance-associated protein 5; AltName: Full=ATP-binding cassette sub-family C member 5; AltName: Full=Multi-specific organic anion transporter C; Short=MOAT-C; AltName: Full=SMRP; AltName: Full=pABC11,10057,ENSG00000114770,Basolateral cell membrane,FALSE,NA,1,0.38095238095238093
O95255,ABCC6,Multidrug resistance-associated protein 6,368,ENSG00000091262,Basolateral cell membrane,FALSE,NA,1,0.015873015873015872
Q09428,ABCC8,ATP-binding cassette sub-family C member 8,6833,ENSG00000006071,Cell membrane,FALSE,NA,1,0.031746031746031744
O60706,ABCC9,ATP-binding cassette sub-family C member 9,10060,ENSG00000069431,Membrane,FALSE,NA,1,0.031746031746031744
P33897,ABCD1,RecName: Full=ATP-binding cassette sub-family D member 1; AltName: Full=Adrenoleukodystrophy protein; Short=ALDP,215,ENSG00000101986,Peroxisome membrane,FALSE,NA,2,0.7936507936507936
Q9UBJ2,ABCD2,ATP-binding cassette sub-family D member 2,225,ENSG00000173208,Peroxisome membrane,FALSE,NA,1.5,0
P28288,ABCD3,ATP-binding cassette sub-family D member 3,5825,ENSG00000117528,Peroxisome membrane,TRUE,6,18,1
O14678,ABCD4,ATP-binding cassette sub-family D member 4,5826,ENSG00000119688,Endoplasmic reticulum membrane,FALSE,NA,2,0.7142857142857143
P61221,ABCE1,RecName: Full=ATP-binding cassette sub-family E member 1; AltName: Full=2'-5'-oligoadenylate-binding protein; AltName: Full=HuHP68; AltName: Full=RNase L inhibitor; AltName: Full=Ribonuclease 4 inhibitor; Short=RNS4I,6059,ENSG00000164163,Cytoplasm,TRUE,2,32,1
Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1,23,ENSG00000204574,Cytoplasm,TRUE,3,34,1
Q9UG63,ABCF2,RecName: Full=ATP-binding cassette sub-family F member 2; AltName: Full=Iron-inhibited ABC transporter 2,10061,ENSG00000285292,NA,TRUE,2,16,1
Q9NUQ8,ABCF3,RecName: Full=ATP-binding cassette sub-family F member 3,55324,ENSG00000161204,NA,TRUE,2,12,1
P45844,ABCG1,ATP-binding cassette sub-family G member 1,9619,ENSG00000160179,Endoplasmic reticulum membrane,FALSE,NA,1,0.015873015873015872
Q9UNQ0,ABCG2,RecName: Full=ATP-binding cassette sub-family G member 2; AltName: Full=Breast cancer resistance protein; AltName: Full=CDw338; AltName: Full=Mitoxantrone resistance-associated protein; AltName: Full=Placenta-specific ATP-binding cassette transporter,9429,ENSG00000118777,Cell membrane,FALSE,NA,1,0.19047619047619047
Q9H172,ABCG4,ATP-binding cassette sub-family G member 4,64137,ENSG00000172350,Membrane,FALSE,NA,1,0
Q9H222,ABCG5,ATP-binding cassette sub-family G member 5,64240,ENSG00000138075,Cell membrane,FALSE,NA,1,0.015873015873015872
Q9H221,ABCG8,ATP-binding cassette sub-family G member 8,64241,ENSG00000143921,Cell membrane,FALSE,NA,1,0.031746031746031744
Q9NUJ1,ABHD10,"RecName: Full=Mycophenolic acid acyl-glucuronide esterase, mitochondrial; EC=3.1.1.93; AltName: Full=Alpha/beta hydrolase domain-containing protein 10; Short=Abhydrolase domain-containing protein 10; Flags: Precursor",55347,ENSG00000144827,Mitochondrion,TRUE,1,10,1
Q8NFV4,ABHD11,RecName: Full=Alpha/beta hydrolase domain-containing protein 11; Short=Abhydrolase domain-containing protein 11; EC=3.-.-.-; AltName: Full=Williams-Beuren syndrome chromosomal region 21 protein,83451,ENSG00000106077,NA,TRUE,6,13,1
Q8N2K0,ABHD12,Monoacylglycerol lipase ABHD12,26090,ENSG00000100997,Endoplasmic reticulum membrane,TRUE,6,17,1
Q7Z5M8,ABHD12B,Abhydrolase domain-containing protein 12B,145447,ENSG00000131969,NA,FALSE,NA,1,0.015873015873015872
Q7L211,ABHD13,Alpha/beta hydrolase domain-containing protein 13,84945,ENSG00000139826,Membrane,FALSE,NA,1,0.1746031746031746
Q9BUJ0,ABHD14A,Protein ABHD14A,25864,ENSG00000248487,Cytoplasm,FALSE,NA,1,0
Q96IU4,ABHD14B,RecName: Full=Alpha/beta hydrolase domain-containing protein 14B; Short=Abhydrolase domain-containing protein 14B; EC=3.-.-.-; AltName: Full=CCG1-interacting factor B,84836,ENSG00000114779,Cytoplasm,TRUE,1,15,1
Q6UXT9,ABHD15,RecName: Full=Abhydrolase domain-containing protein 15; EC=3.1.1.-; Flags: Precursor,116236,ENSG00000168792,Secreted,FALSE,NA,1,0.20634920634920634
O95870,ABHD16A,RecName: Full=Abhydrolase domain-containing protein 16A; EC=3.-.-.-; AltName: Full=HLA-B-associated transcript 5; AltName: Full=Protein G5,7920,ENSG00000206403,Membrane,TRUE,4,5.5,0.9682539682539683
Q5VST6,ABHD17B,RecName: Full=Alpha/beta hydrolase domain-containing protein 17B; EC=3.-.-.-; Flags: Precursor,51104,ENSG00000107362,Cell membrane,FALSE,NA,1,0.4603174603174603
Q0P651,ABHD18,Uncharacterized protein C4orf29,NA,ENSG00000164074,Secreted,FALSE,NA,1,0.015873015873015872
P08910,ABHD2,RecName: Full=Abhydrolase domain-containing protein 2; EC=3.1.1.-; AltName: Full=Lung alpha/beta hydrolase 2; AltName: Full=Protein PHPS1-2,11057,ENSG00000140526,"Cell projection, cilium, flagellum membrane",FALSE,NA,1,0.09523809523809523
Q8WU67,ABHD3,RecName: Full=Abhydrolase domain-containing protein 3; EC=3.1.1.-; AltName: Full=Lung alpha/beta hydrolase 3,171586,ENSG00000158201,Membrane,FALSE,NA,1,0.3968253968253968
Q8TB40,ABHD4,Abhydrolase domain-containing protein 4,63874,ENSG00000100439,NA,FALSE,NA,1,0.2857142857142857
Q8WTS1,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,51099,ENSG00000011198,Cytoplasm,FALSE,NA,2,0.6984126984126984
Q9BV23,ABHD6,RecName: Full=Monoacylglycerol lipase ABHD6; EC=3.1.1.23; AltName: Full=2-arachidonoylglycerol hydrolase; AltName: Full=Abhydrolase domain-containing protein 6,57406,ENSG00000163686,Late endosome membrane,FALSE,NA,1,0.3492063492063492
Q8IZP0,ABI1,RecName: Full=Abl interactor 1; AltName: Full=Abelson interactor 1; Short=Abi-1; AltName: Full=Abl-binding protein 4; Short=AblBP4; AltName: Full=Eps8 SH3 domain-binding protein; Short=Eps8-binding protein; AltName: Full=Nap1-binding protein; Short=N,10006,ENSG00000136754,Cytoplasm,TRUE,8,8,1
Q9NYB9,ABI2,RecName: Full=Abl interactor 2; AltName: Full=Abelson interactor 2; Short=Abi-2; AltName: Full=Abl-binding protein 3; Short=AblBP3; AltName: Full=Arg-binding protein 1; Short=ArgBP1,10152,ENSG00000138443,Cytoplasm,FALSE,NA,2,0.6825396825396826
Q9P2A4,ABI3,ABI gene family member 3,51225,ENSG00000108798,Cytoplasm,FALSE,NA,1,0.12698412698412698
Q7Z7G0,ABI3BP,RecName: Full=Target of Nesh-SH3; Short=Tarsh; AltName: Full=ABI gene family member 3-binding protein; AltName: Full=Nesh-binding protein; Short=NeshBP; Flags: Precursor,25890,ENSG00000154175,Secreted,FALSE,NA,5,0.047619047619047616
P00519,ABL1,RecName: Full=Tyrosine-protein kinase ABL1; EC=2.7.10.2; AltName: Full=Abelson murine leukemia viral oncogene homolog 1; AltName: Full=Abelson tyrosine-protein kinase 1; AltName: Full=Proto-oncogene c-Abl; AltName: Full=p150,25,ENSG00000097007,"Cytoplasm, cytoskeleton",FALSE,NA,1,0.15873015873015872
P42684,ABL2,Abelson tyrosine-protein kinase 2,27,ENSG00000143322,"Cytoplasm, cytoskeleton",FALSE,NA,1,0.031746031746031744
O14639,ABLIM1,RecName: Full=Actin-binding LIM protein 1; Short=abLIM-1; AltName: Full=Actin-binding LIM protein family member 1; AltName: Full=Actin-binding double zinc finger protein; AltName: Full=LIMAB1; AltName: Full=Limatin,3983,ENSG00000099204,Cytoplasm,TRUE,1,6,0.8412698412698413
Q6H8Q1,ABLIM2,Actin-binding LIM protein 2,84448,ENSG00000163995,Cytoplasm,FALSE,NA,1,0
O94929,ABLIM3,RecName: Full=Actin-binding LIM protein 3; Short=abLIM-3; AltName: Full=Actin-binding LIM protein family member 3,22885,ENSG00000173210,Cytoplasm,FALSE,NA,1,0.3333333333333333
P16442,ABO,Histo-blood group ABO system transferase,28,NA,"Golgi apparatus, Golgi stack membrane",FALSE,NA,1,0.031746031746031744
Q12979,ABR,Active breakpoint cluster region-related protein,29,ENSG00000159842,"Cell projection, dendritic spine",FALSE,NA,3,0.8888888888888888
Q9P1F3,ABRACL,RecName: Full=Costars family protein ABRACL; AltName: Full=ABRA C-terminal-like protein,58527,ENSG00000146386,NA,TRUE,6,9,1
Q6UWZ7,ABRAXAS1,BRCA1-A complex subunit Abraxas,84142,ENSG00000163322,Nucleus,FALSE,NA,1,0.12698412698412698
Q15018,ABRAXAS2,RecName: Full=BRISC complex subunit Abraxas 2 {ECO:0000312|HGNC:HGNC:28975}; AltName: Full=Abraxas brother protein 1 {ECO:0000303|PubMed:22974638}; AltName: Full=Protein FAM175B,23172,ENSG00000165660,Cytoplasm,TRUE,1,4,0.9682539682539683
Q9ULW3,ABT1,RecName: Full=Activator of basal transcription 1; Short=hABT1; AltName: Full=Basal transcriptional activator,29777,ENSG00000146109,Nucleus,FALSE,NA,3,0.7619047619047619
Q969K4,ABTB1,Ankyrin repeat and BTB/POZ domain-containing protein 1,80325,ENSG00000114626,Cytoplasm,FALSE,NA,1,0.015873015873015872
Q8N961,ABTB2,Ankyrin repeat and BTB/POZ domain-containing protein 2,25841,ENSG00000166016,NA,FALSE,NA,1,0.06349206349206349
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",30,ENSG00000060971,Peroxisome,TRUE,6,33,1
P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",10449,ENSG00000167315,Mitochondrion,TRUE,4,37,1
Q13085,ACACA,RecName: Full=Acetyl-CoA carboxylase 1; Short=ACC1; EC=6.4.1.2; AltName: Full=ACC-alpha; Includes: RecName: Full=Biotin carboxylase; EC=6.3.4.14,31,ENSG00000275176,"Cytoplasm, cytosol",TRUE,2,32,1
O00763,ACACB,RecName: Full=Acetyl-CoA carboxylase 2; EC=6.4.1.2; AltName: Full=ACC-beta; Includes: RecName: Full=Biotin carboxylase; EC=6.3.4.14,32,ENSG00000076555,Mitochondrion,FALSE,NA,1,0
Q6JQN1,ACAD10,RecName: Full=Acyl-CoA dehydrogenase family member 10; Short=ACAD-10; EC=1.3.99.-,80724,ENSG00000111271,NA,FALSE,NA,1,0.6031746031746031
Q709F0,ACAD11,RecName: Full=Acyl-CoA dehydrogenase family member 11; Short=ACAD-11; EC=1.3.99.-,84129,ENSG00000240303,Peroxisome,FALSE,NA,1,0
Q9UKU7,ACAD8,"RecName: Full=Isobutyryl-CoA dehydrogenase, mitochondrial; EC=1.3.99.-; AltName: Full=Activator-recruited cofactor 42 kDa component; Short=ARC42; AltName: Full=Acyl-CoA dehydrogenase family member 8; Short=ACAD-8; Flags: Precursor",27034,ENSG00000151498,Mitochondrion,FALSE,NA,2,0.7301587301587301
Q9H845,ACAD9,"RecName: Full=Acyl-CoA dehydrogenase family member 9, mitochondrial; Short=ACAD-9; EC=1.3.99.-; Flags: Precursor",28976,ENSG00000177646,Mitochondrion inner membrane,TRUE,2,19,1
P28330,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",33,ENSG00000115361,Mitochondrion matrix,FALSE,NA,1,0.015873015873015872
P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",34,ENSG00000117054,Mitochondrion matrix,TRUE,1,20,1
P16219,ACADS,"RecName: Full=Short-chain specific acyl-CoA dehydrogenase, mitochondrial; Short=SCAD; EC=1.3.8.1; AltName: Full=Butyryl-CoA dehydrogenase; Flags: Precursor",35,ENSG00000122971,Mitochondrion matrix,TRUE,1,4,0.9682539682539683
P45954,ACADSB,"RecName: Full=Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial; Short=SBCAD; EC=1.3.8.5; AltName: Full=2-methyl branched chain acyl-CoA dehydrogenase; Short=2-MEBCAD; AltName: Full=2-methylbutyryl-coenzyme A dehydrogenase; Short=2-",36,ENSG00000196177,Mitochondrion matrix,TRUE,6,4,0.9682539682539683
P49748,ACADVL,"RecName: Full=Very long-chain specific acyl-CoA dehydrogenase, mitochondrial; Short=VLCAD; EC=1.3.8.9; Flags: Precursor",37,ENSG00000072778,Mitochondrion inner membrane,TRUE,4,51,1
P16112,ACAN,RecName: Full=Aggrecan core protein; AltName: Full=Cartilage-specific proteoglycan core protein; Short=CSPCP; AltName: Full=Chondroitin sulfate proteoglycan core protein 1; Short=Chondroitin sulfate proteoglycan 1; Contains: RecName: Full=Aggrecan co,176,ENSG00000157766,"Secreted, extracellular space, extracellular matrix",FALSE,NA,1,0
Q15027,ACAP1,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1",9744,ENSG00000072818,Recycling endosome membrane,FALSE,NA,2,0.14285714285714285
Q15057,ACAP2,"RecName: Full=Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2; AltName: Full=Centaurin-beta-2; Short=Cnt-b2",23527,ENSG00000114331,Endosome membrane,TRUE,2,9,1
Q96P50,ACAP3,"RecName: Full=Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3; AltName: Full=Centaurin-beta-5; Short=Cnt-b5",116983,ENSG00000131584,NA,FALSE,NA,1,0.5555555555555556
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",38,ENSG00000075239,Mitochondrion,TRUE,4,29,1
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic",39,ENSG00000120437,"Cytoplasm, cytosol",TRUE,5,43,1
Q9H3P7,ACBD3,Golgi resident protein GCP60,64746,ENSG00000182827,Golgi apparatus membrane,TRUE,6,17,1
Q8NC06,ACBD4,Acyl-CoA-binding domain-containing protein 4,79777,ENSG00000181513,NA,FALSE,NA,1,0.07936507936507936
Q5T8D3,ACBD5,RecName: Full=Acyl-CoA-binding domain-containing protein 5,91452,ENSG00000107897,Peroxisome membrane,FALSE,NA,2,0.7777777777777778
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6,84320,ENSG00000230124,Cytoplasm,FALSE,NA,2,0.7301587301587301
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,414149,ENSG00000176244,NA,FALSE,NA,1,0
Q96QU6,ACCS,1-aminocyclopropane-1-carboxylate synthase-like protein 1,84680,ENSG00000110455,NA,FALSE,NA,1,0
Q4AC99,ACCSL,Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2,390110,ENSG00000205126,NA,FALSE,NA,1,0.031746031746031744
Q96AP0,ACD,RecName: Full=Adrenocortical dysplasia protein homolog; AltName: Full=POT1 and TIN2-interacting protein,65057,ENSG00000102977,Nucleus,FALSE,NA,1,0.5714285714285714
P12821,ACE,Angiotensin-converting enzyme,1636,ENSG00000159640,Secreted,FALSE,NA,2,0.5079365079365079
Q9BYF1,ACE2,Angiotensin-converting enzyme 2,59272,ENSG00000130234,Secreted,FALSE,NA,1,0.015873015873015872
Q5QJU3,ACER2,Alkaline ceramidase 2,340485,ENSG00000177076,Golgi apparatus membrane,FALSE,NA,1,0.09523809523809523
P22303,ACHE,Acetylcholinesterase,43,ENSG00000087085,"Cell junction, synapse",FALSE,NA,1,0
Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus,22985,ENSG00000100813,Nucleus,TRUE,5,38,1
Q16570,ACKR1,Atypical chemokine receptor 1,2532,ENSG00000213088,Early endosome,FALSE,NA,1,0
